case,topic_filter,topic,valid,error_code,match,spec_valid,spec_match,source,note
S16,sport/+/player1,sport/x/player1,FALSE,55043,-,TRUE,TRUE,spec 4.7.1.3 non-normative example 'sport/+/player1' is valid,DEVIATION: diagram rejects '+' anywhere but the end - spec allows it at any level
S17,+/+,/finance,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.3 non-normative example,
S18,/+,/finance,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.3 non-normative example,
S19,+,/finance,TRUE,0,TRUE,TRUE,FALSE,spec 4.7.1.3 non-normative example,DEVIATION: diagram only compares the filter's own levels so a longer topic matches - spec says '+' alone does not match '/finance'
S20,+/monitor/Clients,$SYS/monitor/Clients,FALSE,55043,-,TRUE,FALSE,spec 4.7.2 non-normative example,DEVIATION: diagram rejects '+' anywhere but the end - spec allows it and then refuses the '$' topic
S21,$SYS/#,$SYS/monitor/Clients,TRUE,0,FALSE,TRUE,TRUE,spec 4.7.2 non-normative example,DEVIATION: diagram refuses any '$' topic at every wildcard level - spec only refuses when the filter starts with a wildcard
S22,$SYS/monitor/+,$SYS/monitor/Clients,TRUE,0,FALSE,TRUE,TRUE,spec 4.7.2 non-normative example,DEVIATION: diagram refuses any '$' topic at every wildcard level - spec only refuses when the filter starts with a wildcard
S23,ACCOUNTS,Accounts,TRUE,0,FALSE,TRUE,FALSE,spec 4.7.3 case sensitive,
S24,/finance,finance,TRUE,0,FALSE,TRUE,FALSE,spec 4.7.3 leading '/' creates a distinct topic,
S25,finance,/finance,TRUE,0,FALSE,TRUE,FALSE,spec 4.7.3 leading '/' creates a distinct topic,
S26,,sport,FALSE,55041,-,FALSE,-,spec 4.7.3 [MQTT-4.7.3-1] at least one character,
S27,/,/,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.3 '/' alone is valid,
S28,sport/tennis,sport/tennis/player1,TRUE,0,TRUE,TRUE,FALSE,spec 4.7.3 (derived) no wildcard means exact topic,DEVIATION: diagram only compares the filter's own levels so a longer topic matches - spec requires the same number of levels
S29,sport/tennis/player1,sport/tennis,TRUE,0,FALSE,TRUE,FALSE,spec 4.7.3 (derived),missing topic level reads as empty and differs from 'player1'
S30,sport/tennis,sport/tennis,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.3 (derived) exact match,
